Time	CycleTime	Idle	Open	Setup	Work	Lateness	OEE	New
84000	2243.453761	121.0555	64	19.6	20.75	-1462.020962	25.94	8
84239	2244.269325	165.2786364	56	19.75	22.36	-1462.522086	27.96	0
84480	2243.343348	134.9254545	66	20	22.97	-1462.183323	28.71	11
84720	2243.302752	133.0036364	62	20	25.71	-1463.64893	32.14	0
84960	2240.943902	133.0209524	63	19.79	24.06	-1463.378049	30.08	6
85200	2238.456258	127.6	57	19.98	27.42	-1461.964763	34.27	0
85440	2236.979419	125.6527273	57	19.98	24.9	-1460.562349	31.12	6
85680	2236.078963	129.4522727	50	20	20.6	-1458.652803	25.76	0
85920	2238.092604	123.6063636	53	19.83	21.65	-1458.689116	27.06	7
86160	2241.360312	125.747619	48	20	19.79	-1461.526978	24.74	0
86400	2244.656699	146.7895238	58	19.77	28.75	-1465.083732	35.94	14
86640	2243.967184	146.36	54	18.65	31.25	-1465.319212	39.06	0
86880	2244.041691	126.187	58	19.58	31	-1465.940441	38.75	7
87120	2242.763971	149.9057143	55	19.96	25.65	-1465.674197	32.16	0
87360	2241.474184	137.5781818	61	20	29.71	-1465.445104	37.14	9
87600	2242.057499	149.5452381	59	19.96	28.75	-1466.363367	35.94	0
87840	2239.892435	141.5735	67	20	32.56	-1466.880024	40.7	13
88080	2239.739079	170.1552174	65	19.29	35.25	-1466.998229	44.06	0
88320	2238.866235	125.5352381	72	18.83	34.92	-1467.774897	43.65	10
88560	2238.793996	138.738	70	19.73	33.9	-1467.6598	42.37	0
88800	2238.376249	115.3010526	73	19.77	31.92	-1467.270429	39.9	5
89040	2238.160987	171.707619	72	19.81	33.81	-1467.487074	42.27	0
89280	2237.306745	163.4747368	75	20	27.25	-1468.178299	34.06	6
89520	2235.295388	170.9980952	67	19.79	26.21	-1468.742557	32.76	0
89760	2232.974985	140.8814286	73	19.83	26.44	-1468.07039	33.07	12
90000	2233.28007	146.758	71	20	31.65	-1468.990703	39.56	0
90240	2235.548294	139.8521053	78	19.79	32.44	-1475.923077	40.62	15
