Time	cycle	Idle	Open	Setup	TotalWork	Lateness	OEE	New
105120	925.541791	48.75782609	67	14.48	37.23	-2787.303483	46.54	15
105359	925.7480119	47.66434783	65	15.86	31.88	-2787.394632	39.85	0
105600	925.5119048	43.81875	69	16.74	42.57	-2788.419147	53.22	8
105840	925.8466864	31.65625	63	16.54	30.94	-2792.663699	38.67	0
106080	926.1999013	34.06	66	14.62	38.94	-2794.187068	48.67	7
106320	926.1242604	22.82863636	64	13.54	22.4	-2793.400888	27.99	0
106559	925.5115593	37.62791667	66	15.52	32.47	-2798.147073	40.59	7
106800	925.3639039	39.6575	60	11.47	18.8	-2801.031878	23.5	0
107040	925.6991671	39.33375	71	16.79	35.6	-2802.439	44.51	13
107280	924.9545898	37.85208333	64	15.29	27.71	-2801.069824	34.64	0
107519	925.1822612	44.17375	71	17.61	31.13	-2802.288012	38.91	11
107759	924.9727626	40.33	67	13.23	25.96	-2801.309339	32.45	0
108000	925.0908649	41.33333333	76	16.85	37.99	-2802.465015	47.48	11
108239	925.3163513	37.975	73	15.17	28.22	-2804.319262	35.28	0
108480	925.5350411	35.35695652	73	16.27	27.08	-2804.179314	33.84	8
108720	925.7222758	34.53130435	68	14.58	22.25	-2803.689007	27.94	0
108960	925.0422874	36.35958333	67	16.54	29.42	-2805.720327	36.77	6
109199	925.0556088	45.8226087	62	11.78	16.74	-2805.76558	20.92	0
109439	924.877512	29.01125	67	14.88	33.12	-2803.217703	41.41	9
109679	925.0477099	30.0605	61	15.33	21.94	-2801.133588	27.42	0
109920	925.0446768	30.50458333	57	14.56	20.21	-2799.66635	25.26	4
110159	925.2406265	24.29565217	54	7.05	11.23	-2799.29663	14.04	0
110399	924.7413548	43.9825	55	15.85	22.02	-2797.369967	27.53	5
110640	924.8548463	43.12708333	51	9.23	11.08	-2796.835934	13.85	0
110880	924.621813	48.66347826	60	17.58	38.54	-2796.734655	48.18	12
111120	924.4322034	42.67666667	54	12.54	29.19	-2797.962806	36.48	0
111360	924.7668077	40.61416667	59	16.83	38.9	-2798.900329	48.62	8
111600	924.2252464	40.91125	55	15.38	27.83	-2799.979822	34.79	0
111839	924.2478913	45.29521739	63	16.82	38.52	-2800.529053	48.14	11
112080	923.767757	62.33565217	57	16.45	25.58	-2801.128505	32.11	0
112319	923.970602	54.34	69	15.82	48.33	-2800.706953	60.41	15
112560	922.7893756	51.03583333	66	14.83	36.58	-2803.140261	45.72	0
112799	923.7704461	48.57	70	17.45	40.38	-2806.002788	50.47	10
113040	923.8337204	83.25173913	69	17.95	33.42	-2806.024152	41.78	0
113280	923.4406308	68.64375	82	16.71	49.46	-2805.492115	61.82	16
113520	923.2739917	59.53347826	81	10.67	38.17	-2805.096894	47.76	0
113760	923.0180389	55.81666667	86	16.56	46.21	-2802.668363	57.81	10
114000	922.5890221	51.93916667	80	15.33	32.27	-2803.018911	40.34	0
114240	922.274609	43.16583333	87	15.56	48.67	-2802.638454	60.99	13
114479	922.1994485	41.90541667	85	16.13	31.46	-2802.467831	39.54	0
114720	922.3516735	36.54958333	86	15.93	32.2	-2803.790922	40.25	6
114959	922.9171625	24.1	82	17.68	19.52	-2800.535927	24.4	0
115199	924.295351	33.78	78	14.54	23.21	-2798.018232	29.01	5
115439	924.6721237	33.85458333	85	8.69	14.21	-2797.007276	17.76	12
115680	924.6823956	43.29958333	80	15.95	41.18	-2798.686025	51.48	0
115920	924.9764493	38.35791667	86	14.58	26.92	-2799.697464	33.7	10
116159	925.2971996	31.71708333	80	16.57	36.36	-2802.897471	45.45	0
116399	925.3106709	26.88304348	78	15.58	27.9	-2801.358847	34.87	5
116640	928.3147982	48.54083333	69	15	22.59	-2800.200448	28.24	0
116880	929.0756829	45.77391304	76	11.71	13.21	-2799.646216	16.51	10
117119	929.2085944	54.4525	75	16.19	36.51	-2799.712623	45.63	0
117360	929.1241626	56.64083333	84	15.77	29.5	-2798.77088	36.88	14
117599	929.0694878	49.7926087	78	14.83	46.38	-2798.5951	58.03	0
117840	930.054126	45.32541667	79	14.65	36.39	-2798.307897	45.49	10
118079	929.8919876	49.92541667	74	17.32	40.29	-2797.264276	50.37	0
118320	929.6220751	38.43913043	77	14.81	32.34	-2796.39117	40.43	9
118559	929.7844866	49.21791667	73	17.45	34.98	-2798.459674	43.72	0
118800	929.866256	46.36541667	81	13.48	29.5	-2799.483062	36.88	12
119040	930.1057481	47.83041667	75	16.71	40	-2799.956121	50	0
119279	930.0542907	52.97708333	80	14.44	24.81	-2798.406743	31.01	10
119520	929.9487965	50.28416667	79	14.44	39.9	-2800.07965	49.97	0
119759	930.2019231	39.21913043	84	15.52	26.21	-2799.840035	32.77	8
119999	930.6284344	48.52583333	79	15.69	37.29	-2802.218055	46.61	0
120239	930.502611	41.44958333	82	14.02	26.48	-2801.151871	33.1	8
120480	930.9065217	32.95666667	80	15.46	27.57	-2802.608696	34.47	0
120719	930.4362533	21.54333333	77	16.78	22.74	-2804.697745	28.43	3
120960	930.1657291	47.28875	72	15.08	18.03	-2804.206404	22.54	0
121200	931.2347864	43.66291667	76	5.25	6.77	-2806.642641	8.46	10
121439	932.2796902	48.84217391	69	13.91	27.99	-2806.13167	35.22	0
121680	932.2601032	44.37708333	80	14.69	23.24	-2805.77644	29.05	13
121919	932.7408837	44.62521739	75	15.69	42.51	-2805.3861	53.37	0
122160	932.5355613	49.25826087	82	16.04	36.06	-2805.692374	45.07	10
122400	932.7896537	41.70826087	77	15.9	40.69	-2805.758016	50.86	0
122639	933.487628	47.59083333	81	13.85	27.2	-2806.794369	34	9
122880	933.3228279	45.20913043	77	15.08	33.59	-2805.571124	41.99	0
123120	933.7146497	47.1725	81	15.96	28.6	-2807.837792	35.76	11
123360	933.6837426	43.97291667	74	14.65	34.06	-2812.670195	42.58	0
123599	933.5338123	42.11541667	78	15.06	28.28	-2814.986475	35.36	8
123839	933.4080169	45.06625	74	16.08	32.5	-2815.752321	40.62	0
124080	933.3433024	36.035	78	15.66	23.9	-2817.477254	29.88	8
124319	933.4922236	40.82708333	73	17.18	33.2	-2816.038672	41.5	0
124559	933.3052411	37.56916667	77	15.5	30.25	-2816.875052	37.81	10
124800	933.6294437	47.50625	71	13.71	40.46	-2819.666248	50.62	0
125039	933.7934783	45.39791667	81	14.6	26.88	-2819.281355	33.6	11
125279	934.1775	42.74347826	73	15.65	35.48	-2819.804583	44.35	0
125519	934.3645443	41.78	79	17.21	28.88	-2819.524345	36.09	9
125759	934.2309929	48.21	75	17.33	36.56	-2818.781055	45.7	0
126000	934.2524876	46.8675	81	15.79	31.04	-2818.995854	38.8	11
126240	934.0214965	35.62708333	74	15.56	41.58	-2817.019843	52.11	0
126480	934.6269088	24.82541667	77	14.94	29.81	-2816.646719	37.27	7
126719	934.6322501	24.2952381	69	15.61	27.82	-2816.528589	34.78	0
126959	934.8084669	16.82444444	74	10	19.23	-2816.479244	24.04	7
127200	934.7969647	43.29583333	69	10.19	21.62	-2815.417145	27.02	0
127439	934.7701762	31.29625	76	5.86	11.65	-2815.442032	14.57	10
127680	934.4113562	46.46826087	69	17.39	36.49	-2815.65482	45.7	0
127920	934.4119086	45.13478261	77	14.94	24.85	-2814.75	31.07	12
128160	934.1119251	45.60541667	72	14.94	36.81	-2813.66626	46.12	0
128399	933.8727642	37.15208333	78	15.4	28.83	-2811.877642	36.04	9
128639	934.1371197	49.29333333	73	15.56	38.42	-2809.649087	48.12	0
128879	934.0505868	52.38166667	79	15.42	30.21	-2813.855119	37.76	12
129120	933.8788857	53.35208333	73	15.23	33.53	-2812.476383	41.91	0
129360	933.9963754	45.62416667	80	15.38	30.4	-2814.298832	37.99	13
129599	934.1280193	58.845	79	15.48	40.31	-2814.71256	50.39	0
129839	934.1096386	41.57666667	85	17.9	35.33	-2814.372691	44.17	12
130080	933.9855596	44.68916667	82	16.12	34.42	-2815.787004	43.31	0
130320	933.7435897	32.77041667	85	15.71	25.1	-2816.627804	31.38	6
130560	933.7884	47.66869565	81	16.15	34.79	-2817.7924	43.49	0
130800	933.3969649	38.955	87	15.27	22.35	-2817.308307	27.94	10
131039	933.4352847	40.03166667	80	13.03	27.64	-2818.460374	34.54	0
131280	933.3914944	24.67416667	81	14.11	25.98	-2820.97337	32.47	6
131520	933.7508911	39.3926087	72	16.38	31.06	-2819.373465	38.83	0
131760	933.6080601	24.35833333	74	11.9	23.02	-2819.007507	28.98	8
131999	933.959039	51.38956522	66	15.08	29.46	-2819.85191	36.82	0
132240	934.1483668	45.02666667	80	15.52	24.07	-2818.750885	30.08	16
132480	934.5988235	61.30791667	71	17.79	38.79	-2817.914902	48.49	0
132719	935.014867	53.74125	73	16.09	35.69	-2819.050861	44.8	8
132959	934.8412637	46.25916667	65	15.98	35.94	-2821.266771	44.92	0
133199	934.4836703	40.22083333	66	17.67	33.6	-2820.895023	42.01	9
133440	934.7961165	47.885	63	15.7	37.01	-2821.422524	46.27	0
133679	934.7341085	47.31833333	70	16.42	32.97	-2820.460853	41.21	12
133920	934.6819062	59.20791667	69	15.04	42.05	-2819.984502	52.57	0
134159	934.9504836	44.84791667	81	16.99	36.57	-2818.688975	45.71	16
134399	934.9231363	43.275	77	17.79	41.65	-2817.810351	52.11	0
134639	935.1099537	30.96375	78	16.56	39.12	-2818.90625	48.91	4
134879	935.2289017	47.21652174	75	18.58	31.77	-2819.314451	39.71	0
135119	935.1251444	33.53130435	83	11.73	21.9	-2818.561417	27.37	10
135360	934.9623222	54.95625	79	13.86	33.65	-2817.728566	42.06	0
135599	935.4019194	37.4326087	86	13.64	23.66	-2819.508253	29.58	11
135839	935.025297	48.75869565	82	13	41.44	-2820.347643	51.8	0
136079	936.0619266	43.16	87	15.35	35.02	-2819.468654	43.98	12
136320	936.4357116	58.92869565	82	16.54	41.33	-2818.889355	51.84	0
136559	936.5714286	80.76541667	92	16.3	39.92	-2818.945524	49.95	14
136800	936.5188428	58.5426087	90	15.5	46.91	-2817.991245	58.84	0
137039	936.4734043	43.91434783	93	15.19	40.48	-2819.281155	50.63	8
137280	936.6657815	35.29208333	89	13.71	35.42	-2818.890364	44.27	0
137519	936.9205749	31.59782609	87	15.42	30.63	-2819.165658	38.34	6
137759	937.1455026	35.6725	85	12.85	25.25	-2818.956916	31.56	0
137999	937.5328054	20.63652174	86	12.96	19.44	-2819.195324	24.3	7
138239	937.5940557	39.5375	80	16.67	23.73	-2819.921746	29.66	0
138480	937.7123545	31.67875	87	11.27	19.98	-2821.892227	24.97	12
138719	937.4440285	44.53625	79	14.6	36.21	-2821.113066	45.27	0
138960	937.5250374	36.20791667	84	16	27.01	-2822.180867	33.77	10
139199	937.7888847	36.0375	79	16.82	35.71	-2820.74972	44.64	0
